,id,average_speed,average_angle,average_acceleration,dist_traveled,max_dist,dist_to_line,direction_changes,max_dist_start,triangle_area
3366,3366,7.148113513488755,-4.401413564508554,0.05698365807079663,41668.94897386546,62.49172975084495,712.5593640068865,22,175.6269204108528,86706873.50049885
3367,3367,8.253720737326708,23.20994011086355,-0.08959552951843357,43877.392450952786,66.10746932466792,1941.4261356058075,12,256.74002708187123,108472599.2309723
3368,3368,6.5275530510272,2.8579536564102748,0.050430183013838094,39324.42026984188,65.40752134145555,1179.1689593142025,19,120.25610268506163,53039473.4533644
3369,3369,6.3921253297955944,26.380742444847495,0.03393833816927276,41341.503992958525,68.02960967697702,816.8094516414055,20,171.0914645357854,137145860.4873364
3370,3370,7.923241532418259,26.755872511791452,0.05051229800902283,44654.80869260069,65.92923733228126,1344.6458238736827,24,170.77200234815996,85221605.23825209
3371,3371,9.072192047403423,-35.00371956387453,-0.08212939553160818,58492.37042643565,70.7140473539257,1009.7591514811211,14,237.50091276666714,164395091.3131159
3372,3372,8.738764606192033,-40.5354166645725,0.018260360959189488,50064.81710418294,67.19305390480642,707.4358185369753,32,348.02520717040034,95454469.61353849
3373,3373,6.28695265650582,-39.259174510911016,-0.027281042129491374,31714.81589983788,63.86572224694475,325.8861813531819,21,171.53167774204255,100613381.60601836
3374,3374,8.362218137724836,8.733242827430093,0.05078006824060151,48329.09499741103,68.33782133739601,1732.728396289649,25,132.6215866064043,75106058.06333499
3375,3375,9.164857076921269,-0.6548129370207254,-0.049517427396664336,56338.32766482245,72.5064918590191,526.0261540675234,31,256.0437864838745,21059132.103794936
3376,3376,8.707972522173819,47.09346531803098,-0.041558580286626116,42009.084681208864,71.95445806480673,395.1818265681096,21,200.64983800143003,124395990.41362569
3377,3377,8.409936544359798,34.56350148042494,0.045666459530381925,44099.49090907503,65.04133793285452,863.9550514274497,16,242.3557852105039,141049425.35013503
3378,3378,7.578471271436362,14.781354943101922,0.022947403824339668,41553.175760441445,63.93437951902472,1011.2015581676402,25,148.65636945654236,108775632.12443104
3379,3379,9.00183894814258,23.689370629452366,0.018267806699636017,41514.49418450402,69.71940009101047,1184.4298414890395,22,127.70083082345238,114708681.99831106
3380,3380,7.159274697577118,37.191778238824654,-0.008833615277364586,39624.294527516584,69.88093056018904,473.915317740866,25,173.17346569264004,101371107.44210793
3381,3381,7.833363507532542,2.436026953128411,-0.10678550971345663,43293.89016825211,69.18209223572602,279.7352087443678,22,245.53888243209028,43117261.76509641
3382,3382,8.951246136089237,-33.67965303225921,0.08256862103583154,53915.93754625432,74.28326456463716,1965.9374432038899,36,186.77088236928148,78325049.90763305
3383,3383,7.835080603755286,27.342192815599017,-0.07515251412267314,45512.69484712902,63.83394987381678,673.9398875082835,29,309.3824743129446,101493417.81323098
3384,3384,7.668592899474718,1.3049552450132949,0.04930587537069916,41647.72385270357,59.7231652872473,1526.8358210543565,18,129.77987703030084,185727320.2756525
3385,3385,6.5963314656535195,66.88153843459648,0.025832034271450657,38396.00686290077,67.73915057023746,498.199669233631,26,193.33523613467426,149656964.17404386
3386,3386,7.969913139641554,35.669479352809,-0.006525587816003468,43309.635811012835,73.98608299131482,837.5307985845265,20,187.74843547694357,185515344.63239902
3387,3387,9.251092091019016,-33.87022190499788,0.09998756312638243,48411.694419325206,70.57405895686875,1118.1798775140853,21,200.31301678685276,209743123.51575056
3388,3388,9.137516183837198,-37.98608246322698,0.021790362205113708,51142.88098536271,90.13448905383063,1457.2778447543246,18,208.4321443679934,238373238.00105247
3389,3389,8.925476407373724,0.05428492901698305,0.024752820954873706,47071.165202142336,67.5538558886128,639.3906350542736,19,242.77377904749113,78686257.36436488
3390,3390,8.574140342725318,-53.50625435134869,-0.04114590798020039,48378.07429747588,67.06148916459749,1797.2218849053395,20,258.773060933707,179804214.59783816
3391,3391,9.304814056615017,18.777405085388196,0.01875380029697261,53073.48205201797,70.4166986575706,1728.9286469588633,19,269.81275467442225,172577867.21139416
3392,3392,9.315922930107966,66.33169757690624,-0.04911612527642981,58827.78621683189,69.49904531388597,939.5777818262652,24,314.32007883048124,127991408.3971807
3393,3393,6.462001966730493,47.81672506284584,0.03383882820896593,40911.21868746872,112.78247120509033,524.2489579982104,23,180.24484762747036,136065652.0087286
3394,3394,5.439818240501814,46.85644641888995,0.08495432614398518,28255.3442443487,61.06193170888379,568.9465802343682,22,135.16063593461666,61549842.46289717
3395,3395,9.688976106492873,82.47238727524284,-0.0686606653522259,55595.2940531894,71.29032843823133,529.0254017120861,12,482.50114228922814,300350316.5632716
3396,3396,7.522094938908987,-60.994738862101286,0.14863149137781337,38810.74479896768,63.679455507140965,144.38322960967457,5,399.37046379087377,313003251.6317708
3397,3397,8.613991719349087,-50.00392572256593,-0.03686062505896442,46310.53953180635,57.800313770075725,272.9119705442228,6,440.6851775360727,282780525.0358499
3398,3398,6.737901395867223,21.874930722005097,-0.0434759930105516,32250.625414428763,68.94164013963497,864.1893752516969,11,173.33044243132838,161649725.92037556
3399,3399,4.931630831641031,-8.637024432818373,-0.0551481864741134,23471.5510849068,29.649563678373624,582.6481989754617,16,56.32701706330632,83257497.14595328
3400,3400,8.47653272589508,57.34841262316353,0.20184657147105559,44265.326192304194,78.50538345497964,671.0787364122126,13,251.34048610816765,216496616.4828625
3401,3401,9.519858169091213,1.5819433076283294,-0.035437087074053165,55111.78467511493,89.40607841126688,499.60942083766514,21,309.0127983146327,119880146.83945465
3402,3402,4.966028882383985,10.237119838873078,-0.10694332574535284,27023.239241916846,91.48729104939554,495.1288383033129,25,174.85592125979053,84907485.83594906
3403,3403,8.358052372191374,21.82733650627967,0.09733944411825181,51588.31006131469,57.80226473229273,1452.3663304798276,14,171.0665163715272,127893461.23186031
3404,3404,6.886607791349434,-17.445044262722764,-0.04602205524276934,36264.427513154165,59.98393306887629,628.1129825899465,13,141.1417824751054,83469772.90054756
